,X,flag_transaksi_fraud
0,12866.0,0.0
1,10412.0,0.0
2,13135.0,0.0
3,14884.0,0.0
4,2568.0,0.0
5,1451.0,0.0
6,200.0,0.0
7,13237.0,1.0
8,10016.0,0.0
9,2560.0,0.0
10,1968.0,0.0
11,2071.0,0.0
12,308.0,0.0
13,9341.0,0.0
14,12672.0,0.0
15,4863.0,0.0
16,10360.0,0.0
17,11468.0,0.0
18,1177.0,0.0
19,14872.0,0.0
20,7432.0,0.0
21,12980.0,0.0
22,6821.0,0.0
23,2934.0,0.0
24,1919.0,0.0
25,11783.0,0.0
26,5744.0,0.0
27,8996.0,0.0
28,11329.0,0.0
29,11466.0,0.0
30,1838.0,0.0
31,12702.0,0.0
32,6596.0,1.0
33,13683.0,0.0
34,5220.0,0.0
35,5351.0,0.0
36,4177.0,0.0
37,4755.0,0.0
38,577.0,0.0
39,3405.0,0.0
40,10497.0,0.0
41,9961.0,1.0
42,5038.0,0.0
43,9684.0,0.0
44,13785.0,0.0
45,403.0,0.0
46,7474.0,0.0
47,5974.0,0.0
48,4703.0,0.0
49,8285.0,0.0
50,3270.0,0.0
51,6565.0,0.0
52,13852.0,0.0
53,8791.0,0.0
54,6056.0,0.0
55,2868.0,0.0
56,9487.0,0.0
57,11241.0,0.0
58,4769.0,0.0
59,9559.0,0.0
60,2774.0,0.0
61,6163.0,0.0
62,11286.0,1.0
63,7688.0,0.0
64,12412.0,0.0
65,14326.0,0.0
66,14557.0,0.0
67,14745.0,1.0
68,1846.0,0.0
69,7775.0,0.0
70,4700.0,0.0
71,3193.0,0.0
72,7401.0,0.0
73,7325.0,0.0
74,11904.0,0.0
75,10547.0,0.0
76,3928.0,0.0
77,4615.0,0.0
78,9552.0,0.0
79,11852.0,0.0
80,13136.0,0.0
81,14965.0,0.0
82,13135.0,1.0
83,1467.0,1.0
84,2877.0,0.0
85,325.0,0.0
86,4277.0,0.0
87,13233.0,0.0
88,209.0,0.0
89,98.0,0.0
90,6410.0,0.0
91,14638.0,0.0
92,8454.0,0.0
93,12056.0,0.0
94,173.0,0.0
95,4667.0,0.0
96,6808.0,0.0
97,5442.0,0.0
98,1991.0,0.0
99,11530.0,0.0
100,8333.0,0.0
101,4305.0,0.0
102,12685.0,0.0
103,6309.0,0.0
104,12163.0,0.0
105,8327.0,0.0
106,690.0,0.0
107,7243.0,0.0
108,10593.0,0.0
109,10544.0,0.0
110,12889.0,0.0
111,9289.0,0.0
112,4709.0,0.0
113,11523.0,0.0
114,446.0,0.0
115,1740.0,0.0
116,13288.0,0.0
117,14700.0,0.0
118,7327.0,0.0
119,13086.0,1.0
120,4222.0,0.0
121,13451.0,0.0
122,5020.0,0.0
123,13023.0,0.0
124,14769.0,0.0
125,12076.0,0.0
126,13624.0,0.0
127,8139.0,0.0
128,13037.0,0.0
129,7402.0,0.0
130,8634.0,0.0
131,14439.0,0.0
132,8475.0,0.0
133,3363.0,0.0
134,885.0,0.0
135,13445.0,0.0
136,9739.0,0.0
137,4014.0,0.0
138,7312.0,0.0
139,11301.0,0.0
140,3895.0,0.0
141,8257.0,0.0
142,8563.0,0.0
143,11319.0,0.0
144,11395.0,1.0
145,6697.0,0.0
146,7944.0,1.0
147,5933.0,0.0
148,7712.0,0.0
149,2420.0,0.0
150,8812.0,0.0
151,13541.0,0.0
152,10363.0,0.0
153,1491.0,0.0
154,12614.0,0.0
155,7408.0,0.0
156,3316.0,0.0
157,8756.0,0.0
158,7940.0,0.0
159,13713.0,0.0
160,7090.0,0.0
161,8015.0,0.0
162,4860.0,0.0
163,8937.0,0.0
164,6476.0,0.0
165,9631.0,0.0
166,429.0,0.0
167,11731.0,0.0
168,3690.0,0.0
169,3585.0,0.0
170,5810.0,0.0
171,3878.0,0.0
172,486.0,0.0
173,8118.0,1.0
174,8471.0,0.0
175,1868.0,0.0
176,5123.0,0.0
177,12822.0,0.0
178,13493.0,0.0
179,11837.0,1.0
180,13055.0,0.0
181,4684.0,0.0
182,13393.0,0.0
183,9006.0,1.0
184,7020.0,0.0
185,8757.0,0.0
186,9848.0,0.0
187,6161.0,0.0
188,4297.0,1.0
189,1429.0,0.0
190,14959.0,0.0
191,13821.0,0.0
192,9628.0,0.0
193,7342.0,0.0
194,3076.0,0.0
195,10582.0,0.0
196,2913.0,1.0
197,6190.0,1.0
198,10903.0,0.0
199,12196.0,0.0
200,9880.0,0.0
201,10920.0,0.0
202,14446.0,0.0
203,13691.0,0.0
204,12626.0,0.0
205,63.0,0.0
206,12743.0,0.0
207,11749.0,0.0
208,9065.0,0.0
209,12763.0,0.0
210,7121.0,0.0
211,1069.0,0.0
212,3140.0,0.0
213,3465.0,0.0
214,8970.0,0.0
215,12072.0,0.0
216,3455.0,0.0
217,7725.0,0.0
218,1832.0,0.0
219,12832.0,0.0
220,10906.0,0.0
221,10471.0,0.0
222,9621.0,0.0
223,13879.0,0.0
224,8145.0,0.0
225,8806.0,0.0
226,592.0,0.0
227,9849.0,0.0
228,14821.0,0.0
229,3686.0,0.0
230,2231.0,1.0
231,13980.0,0.0
232,9736.0,0.0
233,5874.0,0.0
234,8222.0,0.0
235,5648.0,0.0
236,12871.0,0.0
237,13000.0,0.0
238,10594.0,1.0
239,12331.0,0.0
240,12714.0,0.0
241,13185.0,0.0
242,5801.0,0.0
243,5391.0,0.0
244,10307.0,0.0
245,985.0,0.0
246,11180.0,0.0
247,5685.0,0.0
248,9633.0,0.0
249,14242.0,0.0
250,358.0,0.0
251,9127.0,0.0
252,2342.0,0.0
253,2742.0,0.0
254,12498.0,0.0
255,1798.0,1.0
256,12935.0,0.0
257,4671.0,0.0
258,8736.0,0.0
259,14653.0,0.0
260,11735.0,0.0
261,14315.0,0.0
262,4991.0,0.0
263,1628.0,0.0
264,7573.0,0.0
265,7703.0,0.0
266,6947.0,0.0
267,13591.0,0.0
268,10978.0,0.0
269,7667.0,0.0
270,1798.0,0.0
271,4466.0,1.0
272,11734.0,0.0
273,6341.0,0.0
274,7184.0,0.0
275,12105.0,0.0
276,4133.0,0.0
277,3685.0,0.0
278,11964.0,0.0
279,9502.0,0.0
280,11019.0,0.0
281,1907.0,0.0
282,11110.0,0.0
283,14135.0,0.0
284,3091.0,0.0
285,2889.0,0.0
286,10249.0,0.0
287,9868.0,0.0
288,11978.0,0.0
289,9557.0,0.0
290,5042.0,0.0
291,12759.0,1.0
292,5961.0,0.0
293,14872.0,0.0
294,5791.0,0.0
295,13419.0,0.0
296,80.0,0.0
297,1343.0,0.0
298,5972.0,0.0
299,14425.0,0.0
300,5333.0,0.0
301,13424.0,0.0
302,13219.0,0.0
303,1301.0,0.0
304,14595.0,0.0
305,3570.0,0.0
306,8591.0,0.0
307,9886.0,0.0
308,3784.0,0.0
309,8469.0,0.0
310,8871.0,0.0
311,6752.0,0.0
312,6286.0,0.0
313,13243.0,0.0
314,14636.0,0.0
315,307.0,0.0
316,6184.0,0.0
317,3606.0,0.0
318,1968.0,0.0
319,11040.0,0.0
320,2512.0,0.0
321,9439.0,0.0
322,13181.0,0.0
323,2971.0,0.0
324,3428.0,0.0
325,14763.0,0.0
326,7958.0,0.0
327,6652.0,0.0
328,285.0,0.0
329,813.0,0.0
330,2533.0,0.0
331,10655.0,0.0
332,4711.0,0.0
333,7399.0,0.0
334,9425.0,0.0
335,2103.0,0.0
336,14906.0,0.0
337,454.0,0.0
338,3409.0,0.0
339,3987.0,0.0
340,2900.0,0.0
341,13193.0,0.0
342,7823.0,0.0
343,13504.0,0.0
344,6082.0,0.0
345,13614.0,0.0
346,8961.0,0.0
347,11510.0,0.0
348,12783.0,0.0
349,5297.0,0.0
350,4436.0,0.0
351,4809.0,0.0
352,10622.0,0.0
353,3900.0,0.0
354,12206.0,0.0
355,8684.0,0.0
356,4045.0,0.0
357,5041.0,0.0
358,11811.0,0.0
359,674.0,0.0
360,9258.0,0.0
361,979.0,0.0
362,7532.0,0.0
363,11243.0,0.0
364,7511.0,0.0
365,4297.0,0.0
366,4172.0,0.0
367,12080.0,0.0
368,8393.0,0.0
369,3901.0,0.0
370,14891.0,0.0
371,8040.0,0.0
372,12791.0,1.0
373,11314.0,0.0
374,12962.0,0.0
375,8401.0,0.0
376,13962.0,0.0
377,7763.0,0.0
378,2072.0,0.0
379,396.0,0.0
380,6738.0,0.0
381,8625.0,0.0
382,13710.0,0.0
383,4931.0,0.0
384,1987.0,0.0
385,6903.0,0.0
386,3916.0,0.0
387,13558.0,0.0
388,14209.0,0.0
389,13566.0,0.0
390,4210.0,0.0
391,10589.0,0.0
392,14050.0,0.0
393,8168.0,0.0
394,813.0,0.0
395,12408.0,0.0
396,988.0,0.0
397,4288.0,0.0
398,14116.0,0.0
399,9647.0,0.0
400,6757.0,0.0
401,13372.0,0.0
402,5329.0,0.0
403,13827.0,0.0
404,9143.0,0.0
405,11416.0,0.0
406,767.0,0.0
407,2716.0,1.0
408,13753.0,0.0
409,2537.0,0.0
410,12021.0,0.0
411,14014.0,0.0
412,10277.0,0.0
413,11139.0,0.0
414,13370.0,0.0
415,7701.0,0.0
416,3880.0,0.0
417,5785.0,0.0
418,3039.0,0.0
419,3325.0,0.0
420,1352.0,0.0
421,7264.0,0.0
422,14622.0,0.0
423,8835.0,0.0
424,8188.0,0.0
425,6651.0,0.0
426,11370.0,0.0
427,3536.0,1.0
428,10753.0,0.0
429,3648.0,0.0
430,6792.0,0.0
431,6042.0,0.0
432,9371.0,0.0
433,13729.0,0.0
434,287.0,0.0
435,8916.0,0.0
436,6330.0,0.0
437,12502.0,0.0
438,9824.0,0.0
439,1355.0,0.0
440,2684.0,0.0
441,4366.0,0.0
442,933.0,0.0
443,12246.0,0.0
444,3659.0,0.0
445,5767.0,0.0
446,4920.0,0.0
447,13164.0,0.0
448,13038.0,0.0
449,4487.0,0.0
450,8307.0,0.0
451,5533.0,0.0
452,9815.0,0.0
453,13055.0,0.0
454,3929.0,0.0
455,10083.0,0.0
456,1250.0,0.0
457,10004.0,0.0
458,4018.0,0.0
459,2342.0,0.0
460,11172.0,0.0
461,10699.0,0.0
462,3952.0,0.0
463,3894.0,0.0
464,9765.0,0.0
465,6276.0,0.0
466,6678.0,0.0
467,437.0,0.0
468,1696.0,0.0
469,8868.0,0.0
470,7014.0,1.0
471,13767.0,0.0
472,11799.0,0.0
473,12699.0,0.0
474,14786.0,0.0
475,7848.0,0.0
476,4597.0,0.0
477,14460.0,0.0
478,505.0,0.0
479,10723.0,0.0
480,10365.0,0.0
481,9087.0,0.0
482,3246.0,0.0
483,9003.0,0.0
484,1891.0,0.0
485,6294.0,0.0
486,2593.0,0.0
487,9180.0,0.0
488,5149.0,0.0
489,4075.0,0.0
490,5791.0,0.0
491,9283.0,0.0
492,5989.0,0.0
493,5204.0,0.0
494,13440.0,0.0
495,3496.0,1.0
496,5299.0,1.0
497,5265.0,0.0
498,11984.0,0.0
499,12727.0,0.0
500,14312.0,0.0
501,1083.0,0.0
502,2924.0,0.0
503,8239.0,1.0
504,7144.0,0.0
505,14002.0,0.0
506,12419.0,0.0
507,3835.0,0.0
508,10677.0,0.0
509,3093.0,0.0
510,1039.0,1.0
511,9990.0,0.0
512,8310.0,0.0
513,1459.0,0.0
514,11586.0,0.0
515,1522.0,0.0
516,6373.0,0.0
517,3287.0,0.0
518,12283.0,0.0
519,7926.0,0.0
520,2093.0,0.0
521,13351.0,0.0
522,3956.0,0.0
523,9131.0,0.0
524,10924.0,0.0
525,11578.0,0.0
526,1209.0,0.0
527,14314.0,0.0
528,10240.0,0.0
529,5206.0,0.0
530,14083.0,0.0
531,12717.0,0.0
532,14389.0,0.0
533,13748.0,0.0
534,10868.0,0.0
535,1255.0,0.0
536,11003.0,0.0
537,4941.0,0.0
538,5186.0,0.0
539,5924.0,0.0
540,10391.0,0.0
541,936.0,0.0
542,4798.0,0.0
543,1503.0,1.0
544,13369.0,0.0
545,13976.0,0.0
546,9726.0,1.0
547,97.0,0.0
548,8633.0,0.0
549,419.0,0.0
550,2420.0,0.0
551,8629.0,0.0
552,4302.0,0.0
553,12146.0,0.0
554,10468.0,0.0
555,9644.0,0.0
556,5983.0,0.0
557,4128.0,0.0
558,12514.0,0.0
559,12709.0,0.0
560,5914.0,0.0
561,10043.0,0.0
